score,good,ok,miss,maxcombo,drumroll
あなたとトゥラッタッタ♪(裏譜面),810270点,292回,163回,13回,150回,230回
オーバード(裏譜面),nil,nil,nil,nil,nil,nil
ゴッドソング(裏譜面),820900点,607回,276回,31回,166回,14回
Silent Jealousy(裏譜面),939960点,1213回,185回,10回,919回,0回
さちさちにしてあげる♪(裏譜面),843500点,525回,200回,18回,132回,60回
夏祭り / ジッタリン・ジン(裏譜面),841010点,586回,237回,24回,118回,97回
乱数調整のリバースシンデレラ(裏譜面),867400点,547回,127回,33回,183回,127回
六本の薔薇と采の歌(裏譜面),nil,nil,nil,nil,nil,nil
ウィーアー！(裏譜面),819100点,548回,254回,28回,315回,91回
ウルトラマンX(裏譜面),807050点,673回,313回,49回,333回,40回
オーブの祈り,912760点,862回,194回,6回,689回,113回
カルメン 組曲一番終曲(裏譜面),nil,nil,nil,nil,nil,nil
ゲゲゲの鬼太郎(裏譜面),743800点,221回,135回,34回,66回,88回
メタナイトの逆襲メドレー(裏譜面),907300点,805回,185回,10回,680回,197回
Honey Heartbeat ～10 Stars Mix～(裏譜面),853650点,515回,235回,15回,198回,389回
カラフルボイス(裏譜面),844170点,787回,301回,33回,191回,113回
カラ鞠の花,887410点,601回,163回,10回,250回,78回
ギガンティックO.T.N(裏譜面),947130点,961回,115回,7回,323回,5回
ゴーストマスク,824140点,619回,231回,49回,198回,100回
重金属フューギティブ,862560点,489回,143回,21回,212回,106回
SstTAarR*,929400点,733回,104回,11回,521回,31回
拝啓ドッペルゲンガー,960130点,823回,78回,0回,901回,37回
初音ミクの消失‐劇場版‐(裏譜面),820400点,688回,257回,54回,251回,39回
ヒバナ(裏譜面),918220点,862回,171回,4回,739回,0回
モノクロボイス,940940点,819回,137回,5回,485回,275回
モノクロボイス(裏譜面),768600点,784回,434回,87回,141回,0回
4+1のそれぞれの未来,840260点,616回,233回,27回,239回,137回
ANiMA,867050点,639回,176回,24回,190回,28回
Abyss of hell(裏譜面),884380点,842回,240回,18回,282回,294回
怒槌,929440点,1007回,178回,9回,706回,88回
VERTeX,808330点,525回,248回,33回,267回,113回
ouroboros -twin stroke of the end-,857190点,830回,283回,21回,500回,134回
Angel Halo,879880点,698回,172回,28回,362回,18回
GERBERA,886000点,764回,188回,21回,457回,32回
KAGEKIYO(裏譜面),786100点,604回,349回,44回,183回,76回
Kamikaze Remix,884680点,575回,151回,11回,370回,0回
Garakuta Doll Play(裏譜面),855010点,537回,142回,36回,124回,106回
極圏,913350点,783回,140回,21回,261回,184回
業 -善なる神とこの世の悪について-(裏譜面),835640点,822回,320回,53回,157回,304回
Got more raves?(裏譜面),807480点,528回,267回,29回,237回,84回
God Ray,874780点,584回,184回,9回,369回,95回
Surf Zapping,933030点,726回,111回,3回,396回,36回
Scarlet Lance,922200点,825回,168回,7回,486回,132回
Xevel,907400点,933回,179回,17回,384回,76回
Doom Noiz,871680点,731回,212回,18回,210回,12回
FUJIN Rumble,870510点,573回,162回,16回,196回,15回
FLOWER(裏譜面),833940点,613回,226回,34回,305回,63回
BLAZING VORTEX(裏譜面),832640点,854回,302回,52回,361回,0回
Venomous(裏譜面),888180点,598回,154回,13回,347回,47回
MagiCatz,910240点,594回,132回,6回,329回,199回
ミュージック・リボルバー(裏譜面),827550点,533回,207回,37回,125回,75回
メタルホーク BGM1,800950点,498回,219回,27回,203回,112回
Libera Ray,894030点,675回,169回,16回,282回,282回
アキバ20XX,910360点,676回,131回,12回,169回,138回
Aragami,891120点,661回,167回,11回,616回,60回
Altale(裏譜面),785470点,477回,315回,28回,163回,193回
Aleph-0,833860点,408回,136回,35回,181回,301回
INSPION,880580点,793回,249回,10回,576回,102回
waitin' for u,940050点,675回,82回,5回,308回,25回
郢曲／暁闇,829220点,672回,292回,29回,141回,45回
Calamity Fortune,958210点,966回,101回,2回,664回,27回
Calamity Fortune(裏譜面),787550点,773回,369回,75回,142回,24回
最終鬼畜妹フランドール・S,970390点,877回,67回,1回,944回,147回
スーパーD&D～完全にリードしてアイマイミー～,932050点,852回,143回,5回,519回,185回
チルノのパーフェクトさんすう教室(裏譜面),915700点,781回,151回,7回,711回,0回
チルノのパーフェクトさんすう教室 9周年バージョン(裏譜面),833600点,635回,238回,36回,188回,42回
D絶対！SAMURAIインザレイン(裏譜面),824800点,698回,244回,58回,302回,48回
Dogbite,841530点,583回,207回,27回,281回,40回
Doppelgangers(裏譜面),877200点,697回,221回,11回,414回,51回
Dreadnought(裏譜面),848820点,764回,285回,26回,249回,72回
ネクロファンタジア ～ Arr.Demetori,971360点,1049回,105回,6回,525回,461回
BATTLE NO.1,779800点,603回,314回,48回,152回,46回
Parousia,791160点,500回,242回,45回,186回,37回
FREEDOM DiVE↓,945180点,890回,131回,3回,759回,190回
マツヨイナイトバグ(裏譜面),873380点,827回,234回,28回,296回,49回
もぺもぺ,806510点,327回,152回,22回,114回,53回
Re：End of a Dream(裏譜面),899800点,819回,157回,23回,316回,23回
美しく忙しきドナウ(裏譜面),847220点,718回,298回,22回,463回,149回
クラポルポルスカ,871030点,545回,161回,17回,276回,149回
其方、激昂,870100点,744回,229回,21回,231回,116回
チャーリー ダッシュ！,796740点,541回,271回,46回,149回,120回
弩蚊怒夏,852000点,714回,255回,31回,201回,105回
白鳥の湖(裏譜面),803150点,565回,245回,51回,192回,0回
ハンロック,883100点,469回,132回,10回,292回,164回
プチポチ,844010点,625回,223回,29回,222回,44回
練習曲Op.10-4(裏譜面),830510点,645回,277回,26回,252回,0回
R.I.,904620点,760回,143回,22回,248回,66回
愛と浄罪の森,856280点,598回,220回,14回,295回,7回
哀 want U,871650点,711回,230回,8回,232回,55回
蒼の旋律(裏譜面),915480点,819回,141回,16回,205回,0回
赤と白薔薇の魔女,810470点,722回,341回,48回,154回,0回
朱の旋律,922030点,758回,137回,7回,484回,53回
アサガオ,920500点,638回,118回,9回,194回,144回
あの日出会えたキセキ,900200点,722回,168回,13回,593回,136回
天照,843020点,615回,214回,29回,190回,55回
アムピト♢リーテー,852900点,606回,196回,31回,204回,81回
或ル不和,804800点,650回,294回,52回,108回,13回
ARMAGEΔDON,868990点,749回,225回,25回,209回,0回
UNDEAD HEART(怒りのWarriors),886840点,882回,227回,25回,499回,108回
アンリミテッドゲームズ,903570点,664回,159回,10回,288回,196回
Xa(裏譜面),783290点,559回,296回,49回,155回,0回
Ignis Danse,894860点,644回,168回,6回,296回,67回
頂,904850点,719回,153回,9回,388回,67回
Illusion Flare,904010点,611回,143回,12回,296回,243回
Infinite Rebellion,688360点,642回,474回,188回,41回,139回
VIVIVIVID,887850点,523回,137回,8回,410回,6回
Vixtory,898940点,735回,166回,11回,326回,155回
Vixtory(裏譜面),686900点,628回,438回,174回,85回,93回
VICTORIA,938340点,742回,112回,4回,441回,212回
詩謳兎揺蕩兎,901270点,542回,135回,3回,351回,114回
うちゅうひこうし冒険譚,887840点,623回,162回,12回,250回,8回
Agent Hustle ＆ Dr. Hassle,795030点,431回,234回,28回,323回,16回
EkiBEN2000,931440点,754回,114回,8回,348回,69回
ex寅 Trap!!,880450点,679回,193回,16回,155回,51回
EterNal Ring,806500点,595回,249回,58回,245回,91回
X-DAY2000,848670点,547回,196回,22回,145回,47回
Evidence of evil,846760点,580回,216回,18回,289回,16回
OK I’m blue rat,774040点,488回,280回,48回,234回,30回
ON SAY GO SAY(裏譜面),803520点,408回,176回,37回,184回,0回
彁,761430点,403回,244回,45回,197回,14回
彁(裏譜面),516060点,320回,458回,292回,80回,0回
χ談,828560点,644回,274回,33回,159回,7回
懐中庭園を持つ少女,836000点,580回,217回,30回,147回,98回
!!!カオスタイム!!!,615100点,379回,442回,166回,115回,151回
彼は誰時の誘惑(裏譜面),824400点,604回,288回,24回,129回,16回
絡繰廻廊,739470点,482回,353回,65回,129回,103回
